source_filename,Agreement Name,Agreement Type,Agreement Date,Agreement Date Conformed,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Term,Term Conformed,Renewal Term,Renewal Term Conformed, Recurring Monthly Charges , Nonrecurring Charges ,Connection Services,Professional Services,Equipment,Locations,Contract Type,Agreement_Name,Agreement_Type,Agreement_Date,Agreement_Date_Conformed,Party1_Name,Party1_Role,Party2_Name,Party2_Role,Term_Conformed,Renewal_Term,Renewal_Term_Conformed,Recurring_Monthly_Charges,Nonrecurring_Charges,Connection_Services,Professional_Services,Notes,Amendment,CA_Number,Pilot BTN,descriptive_text,Document Title,Contact Names,Clauses,Provider,Customer,Amendments,Comments,Additional Notes,Changes
19561676910264_kpeltz_Innovative Business Solutions_COURTNEY SMITH _comcast_packages_2-3-2023.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Service Order,2/20/2023,2/20/2023,"Comcast Cable Communications Management, LLC",Provider,Encore Rehabilitation Services,Customer,12 Month,12,,, $169.90 , $99.95 ,['Business Internet Standard'],[],['Equipment - Modem'],"['205 Houston St Lexington, Virginia 24450', 'PO BOX 730 BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561676589359_kpeltz_Innovative Business Solutions_Kate Wainwright _comcast_packages_2-14-2023.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,2/16/2023,2/16/2023,Comcast,Provider,Education Affiliates (EA),Customer,Month to Month,,,, $169.90 , $199.95 ,['Business Internet Standard'],[],['Modem'],"['1155 Dairy Ashford Rd, SUITE 310, Houston, Texas 77077', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561677166093_1942498-Order_Documents_Via_Docusign_TEN4_FOR_REGENC.pdf,Amendment to Existing Agreement,Amendment,4/8/2021,4/8/2021,Telesystem,Provider,TEN4 FOR REGENCY HOSPITAL TOLEDO 4563,Customer,36 months,36,,, $525.00 , $-   ,['DIA-50Mb/50Mb'],[],['DDOS Protection'],"['5220 ALEXIS RD, SYLVANIA, OH 43560']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561676918098_kpeltz_Innovative Business Solutions_COURTNEY SMITH _comcast_packages_2-20-2023.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Service Order,2/20/2023,2/20/2023,"Comcast Cable Communications Management, LLC",Provider,"Removery, LLC (formerly Change Ink)",Customer,12 Month,12,,, $169.90 , $99.95 ,['Business Internet Standard'],[],['Equipment - Modem'],"['632 MARKETPLACE DR Bel Air Maryland 21014', 'PO BOX 730 BROOKLANDVILLE MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561676656581_Education Affiliates 20Mb mgd ACC_ADI_Single_Site_Ethernet_AOW_ADI_PS160 co.pdf,AT&T DEDICATED INTERNET SERVICE PRICING SCHEDULE,Pricing Schedule,2/17/2023,2/17/2023,ACC Business,Provider,Education Affiliates Inc,Customer,3 Years,36,,, $512.00 , $-   ,['AT&T Dedicated Internet'],[],['CPE'],"['1155 DAIRY ASHFORD RD Ste 310 HOUSTON, TX 77079']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561677017582_Desert Valley Audiology-Ten4 Hosted Voice Svcs 021023.pdf,HOSTED VOICE AGREEMENT,Agreement,2/20/2023,2/20/2023,"Distributed Computing, Inc. dba Ten4",Provider,Desert Valley Audiology,Customer,eleven (11) months from 02/1/2023,11,month-to-month basis,1," $1,666.60 ", $-   ,"['Unlimited Standard SIP Trunk', 'E911 Service Charge', 'Domestic Telephone No. (DID)', 'Billing Aggregation', 'Assist (Connectivity Monitoring & Troubleshooting)']",[],"['Business Hosted Extension', 'Polycom VVX300 Conference Phone', 'Sangoma Hosted Fax', 'High-Volume Fax Tier', '4-Port FaxStation Box', '700-Netgear PoE Switch', 'Edgemarc 2900A']","['2911 N. Tenaya Way, Suite 205, Las Vegas, NV 89128', '2850 W. Horizon Ridge Pkwy, Suite 130, Las Vegas, NV 89123', '501 S. Rancho Drive, Suites A6 & A8, Las Vegas, NV 89106']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561677275950_19561676474586_Pull A Part LLC Doc_02.14.23.pdf,Spectrum Enterprise Service Agreement,Service Agreement,2/24/2023,2/24/2023,"Charter Communications Operating, LLC",Provider,Pull A Part LLC,Customer,36mo,36,,, $699.00 ,,['Fiber Internet Access'],[],[],"['426 W. Seymour Ave., Cincinnati, OH 45216', '4473 Tilly Mill Rd, Doraville, GA 30360', '12405 Powerscourt Drive St. Louis, MO 63131']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561677522625_wdelcid_Innovative Business Solutions_Courtney Smith_comcast_packages_2-13-2023 (1).pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,2/27/2023,2/27/2023,"Comcast Cable Communications Management, LLC",Provider,"Removery, LLC (formerly Change Ink)",Customer,12 Month,12,,, $169.90 , $199.95 ,['Business Internet Standard'],[],['Modem'],"['15100 Hesperian Blvd suite 212 San Leandro, California 94578', 'PO BOX 730 Brooklandville, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561677166674_Removery LLC Mississauga SOF Feb 2023.pdf,Service Order Form,Service Order,23-Feb-23,2/23/2023,GTT Americas LLC,Provider,"Removery, LLC",Customer,12 Months,12,annual basis,12, $160.00 , $75.00 ,"['Broadband Internet', 'Business Cable 150M/20M']",[],[],"['5985 Rodeo Drive\nUnit #8B\nMississauga, ON L5R 3X3\nUSA', 'PO BOX 730\nBrooklandville, MD 21022\nUSA', '7900 Tysons One Place Suite 1450\nMclean, VA 22102\nUSA', '5985 Rodeo Dr\nUnit #8B\nMississauga, ON L5R 3X8\nCanada']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678079885_Sales Authorization and CPNI Consent Form - EDUCATION AFFILIATES INC. .pdf,Sales Authorization and CPNI Consent Form,Consent Form,3/3/2023,3/3/2023,Verizon,Provider,EDUCATION AFFILIATES INC.,Customer,,,,,,,"['telecommunications', 'interconnected VoIP services']",[],[],"['320 NORTH POINT BLVD, BALTIMORE, MD 21224']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561677595802_668471-EDUCATION AFFILIATES INC PS160.pdf,ACC PS160,Pricing Schedule,2/27/2023,2/27/2023,ACC BUSINESS,Provider,Education Affiliates Inc,Customer,3 Years,36,,, $512.00 , $O ,"['AT&T DEDICATED INTERNET SERVICE', 'Ethernet']",[],[],"['1155 DAIRY ASHFORD RD Ste 310 HOUSTON TX 77079', 'PO BOX 730 Brooklandville MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678079885_K11058-00_7130_USSA_Master_SOF-Ts&Cs+Pricing.pdf,U.S. Services Agreement,Master Service Order Form,3/3/2023,3/3/2023,Verizon Business Network Services LLC,Provider,EDUCATION AFFILIATES INC.,Customer,Service Commitment: 36 Months,36,,, $454.74 , $-   ,"['Access', 'Internet Dedicated']",[],[],"['320 NORTH POINT BLVD, BALTIMORE, MD 21224-1864, United States', '5026 CAMPBELL BLVD STE D\nNOTTINGHAM, MD 21236-5051\nUSA']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678307682_TDS Internet Agreement_The Facilities Group.pdf,Commercial Service Agreement,Commercial Service Agreement,3/8/2023,3/8/2023,TDS Broadband Service LLC,Provider,THE FACILITIES GROUP,Customer,24 Month,24,,, $254.99 , $-   ,"['Single Static IP', '1Gx1G Internet']",[],['TDS Provided Modem/Router leased'],"['149 PLANTATION RIDGE DR, STE 130, MOORESVILLE NC 28117', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678292759_kpeltz_Innovative Business Solutions_TYANNA LADD _comcast_packages_3-1-2023.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,3/8/2023,3/8/2023,"Comcast Cable Communications Management, LLC",Provider,"Removery, LLC (formerly Change Ink)",Customer,12 Month,12,,, $169.90 , $129.95 ,['Business Internet Standard'],[],['Equipment - Modem'],"['721 North Federal Highway, RETAIL BAY 3, Fort Lauderdale, Florida 33304', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678309546_Valor-Ten4 SOF HV Svcs 123020-FE.xlsx.pdf,Service Order Form,Order,12/31/2020,12/31/2020,ten4,Provider,"Valor Healthcare, Inc.",Customer,,,,," $3,350.81 ",,"['SIP Trunk (Indiv. or Group) Setup', 'Local Number Port (LNP)', 'Unlimited SIP, Stand-Alone Site', 'Unlimited SIP, Centralized Site', 'Domestic DIDs', 'E911 Service Charge', 'Service Monitoring']",[],"['Edgemarc + Adtran', 'Cisco Managed Charge']","['321 Hazeltine Avenue Jamestown, NY 14701', '324 Plaza Road Kingston, NY 12401', '225 Columbia Mall Drive Bloomsburg, PA 17815', '5725 S. Transit Road, Suite 200 Lockport, NY 14094', '101 Ridge Street, 2nd Floor Glens Falls, NY 12801', '1604 N. Main Street, Suite 100 Altus, OK 73521', '2223 Colorado Blvd. Denton, TX 76205']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678311066_TDS Internet Agreement_The Facilities Group.pdf,Commercial Service Agreement,Commercial Service Agreement,3/8/2023,3/8/2023,TDS Broadband Service LLC,Provider,THE FACILITIES GROUP,Customer,24 Month,24,,, $254.99 , $-   ,"['Single Static IP', '1Gx1G Internet']",[],['TDS Provided Modem/Router leased'],"['149 PLANTATION RIDGE DR, STE 130, MOORESVILLE NC 28117', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678312079_Valor Healthcare Inc Jamestown DID-signed.pdf,TEN4 SERVICES AGREEMENT,Agreement,3/1/2023,3/1/2023,Ten4,Provider,Valor Healthcare Inc,Customer,The Service Term for Ten4 Services is co-terminus with the original Hosted Voice Agreement and SOF.,,this SOF shall renew automatically on a month-to-month basis upon the same terms and conditions,, $0.75 , $-   ,['Domestic Telephone Number (DID)'],[],[],"['321 Hazeltine Avenue, Jamestown, NY 14701', '1700 Union Ave • Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678309905_Valor Healthcare Inc Airline Proposal -Signed.pdf,TEN4 SERVICES AGREEMENT,Agreement,3/6/2023,3/6/2023,Ten4,Provider,Valor Healthcare Inc,Customer,The Service Term for Ten4 Services is co-terminus with the original Hosted Voice Agreement and SOF.,,"Following the Initial Service Term, this SOF shall renew automatically on a month-to-month basis upon the same terms and conditions, and either party may terminate at any time with sixty (60) days' written notice.",, $64.95 , $250.00 ,['Ten4 AIRLINE (Base Line)'],"['Ten4 Assist', 'Ten4 Billing', 'POTS Consolidation']",['AIR-LINE'],"['101 Frank Sottile Blvd, Kingston, NY 12401', '135 Gaither Drive Suite A Mount Laurel, NJ • 08054']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678478353_Public_Health_Management_Corporation - Upgrade Service Order - Nitel_9233000064.xlsx.pdf,Service Order,Order,3/10/2023,3/10/2023,nitel,Provider,Public Health Management Corporation,Customer,3,3,,," $1,519.00 ", $-   ,"['IP 1000M GigE: Loop', 'IP GigE, 1000Mbps: Port']",[],['GigE Managed Router'],"['4601 MARKET ST, 1st Floor, PHILADELPHIA, PA 19139', '1500 Market St Philadelphia, PA 19102', '350 N Orleans Street, #1300N, Chicago, IL 60654']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679080700_tempPDFAll3172023-145157.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,3/17/2023,3/17/2023,"Comcast Cable Communications Management, LLC",Provider,Education Affiliates (EA),Customer,Month to Month,1,,, $169.90 , $199.95 ,"['Business Internet', 'Business Internet Standard']",[],['Equipment - Modem'],"['900 THREADNEEDLE SUITE 190 HOUSTON, Texas 77079', 'PO BOX 730 BROOKLANDVILLE, Maryland 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679343754_MODERN ANIMAL PS.pdf,PRICING SCHEDULE,Pricing,3/20/2023,3/20/2023,AT&T Corp. d/b/a ACC Business,Provider,Modern Animal,Customer,36 months,36,,,,,"['AT&T Internet Access as sold by ACC Business aka AT&T High Speed Internet - Enterprise', 'Broadband and Broadband II Service Components']",[],[],"['3859 Cardiff Ave, Culver City, CA 90232, US', '144 W 2nd, Mount Vernon, NY 10550, US', '400 West Avenue, Rochester, NY 14611, USA']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678381120_PR-516_Education Affiliates (EA)_version2_proposal.pdf,TEN4 SERVICES AGREEMENT,Agreement,3/9/2023,3/9/2023,"Distributed Computing, Inc. dba Ten4",Provider,Education Affiliates (EA),Customer,thirty-six (36) months,36,month-to-month basis,, $114.90 , $250.00 ,"['Ten4 AIRLINE (Base Line)', 'Ten4 AIRLINE (Addtional Line)']",['Monitoring and incident management.'],"[""Ten4's AIR-LINE""]","['5024 CAMPBELL BLVD, NOTTINGHAM, MD 21236-5974', '97-77 Queens Blvd, Rego Park, NY 11374', '1700 Union Ave Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561678716921_Signed contract K11058.pdf,U.S. Services Agreement,Master Service Order Form,3/10/2023,3/10/2023,Verizon Business Network Services LLC,Provider,EDUCATION AFFILIATES INC.,Customer,Service Commitment: 36 Months,36,,, $454.74 , $-   ,"['Access', 'Internet Dedicated']",[],[],"['5026 CAMPBELL BLVD STE D, NOTTINGHAM, MD 21236-5051, United States', 'One Verizon Way Basking Ridge, NJ 07920 USA', 'PO BOX 730 BROOKLANDVILLE, MD 21022-0730 USA', '10000 Park Meadows Drive Lone Tree, CO 80124', '320 NORTH POINT BLVD, BALTIMORE, MD 21224-1864, United States']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679343712_MODERN ANIMAL MSA.pdf,ACC Business Multi-Service Agreement,Master Service Agreement,3/20/2023,3/20/2023,AT&T Corp. d/b/a ACC Business,Provider,Modern Animal,Customer,,,,,,,[],[],[],"['3859 Cardiff Ave, Culver City, CA 90232', '144 W 2nd Street, MOUNT VERNON, NY 10550', '400 West Avenue, Rochester, NY 14611']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679343768_MODERN ANIMAL LOA.pdf,Customer Letter of Authority,Letter of Authority,3/14/2023,3/14/2023,ACC Business,Provider,Modern Animal,Customer,three (3) years,36,,,,,"['telecommunications', 'data', 'information services']",[],[],"['3859 Cardiff Ave Culver City CA 90232', '45 W Sego Lily Dr, #220, Sandy, UT 84070', '1700 Union Ave, suite B, Baltimore MD, 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679686812_Agreement for The Facilities Group.pdf,Commercial Services Order Form,Order,3/24/2023,3/24/2023,"Cogeco US (OH), LLC d/b/a Breezeline",Provider,The Facilities Group,Customer,36 Months,36,,, $155.98 , $-   ,"['Internet 1000/50', '1 STATIC IP ADDRESS']",[],['Business Modem'],"['1291 South High Street\nColumbus, OH 43206', 'PO BOX 730\nBrooklandville, MD 21022', '10785 Mark Way\nMiramar FL, 33025', '120 Southmont Blvd\nJohnstown, PA 15905']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679083333_PR-514_Trex_version2_proposal.pdf,TEN4 SERVICES AGREEMENT,Services Agreement,3/16/2023,3/16/2023,"Distributed Computing, Inc. dba Ten4",Provider,Trex,Customer,thirty-six (36) months from date of install,36,month-to-month basis,1, $214.80 , $250.00 ,"['Ten4 AIRLINE (Base Line)', 'Ten4 AIRLINE (Addtional Line)']",['Monitoring and incident management'],['Ten4 AIR-LINE'],"['PO BOX 730, Brooklandville, MD 21022', '2500 Trex Way, Winchester, VA 22601', '1700 Union Ave • Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679690438_Agreement for The Facilities Group (part 1) - signed.pdf,Commercial Services Order Form,Order,3/24/2023,3/24/2023,"Cogeco US (OH), LLC d/b/a Breezeline",Provider,The Facilities Group,Customer,36 Months,36,,, $155.98 , $-   ,"['Internet 1000/50', '1 STATIC IP ADDRESS']",[],['Business Modem'],"['1291 South High Street\nColumbus, OH 43206', '10785 Mark Way\nMiramar FL, 33025', 'PO BOX 730\nBrooklandville, MD 21022', '120 Southmont Blvd\nJohnstown, PA 15905']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561679931186_MVDoc_14795264[68].pdf,,Billing Statement,4-Mar-23,3/4/2023,AT&T,Provider,SELECT MEDICAL CORPORATION,Customer,,,,, $10.00 , $0.03 ,['ENT Internet Access Svc-Internet Backup'],[],[],['1401 N MIDLOTHIAN RO\nUNIT A2\nMUNDELEIN IL 60060'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561680018416_Horne LLP .pdf,Spectrum Enterprise Service Agreement,Service Agreement,3/27/2023,3/27/2023,"Charter Communications Operating, LLC",Provider,Horne LLP,Customer,12 MO,12,,, $899.00 , $250.00 ,"['Fiber Internet Access', '5 STATIC IPS', '100M MANAGED ROUTER']",[],[],"['12405 Powerscourt Drive St. Louis, MO 63131', '124 Broad Street Selma, AL 36701', '661 Sunnybrook Rd. 100 Ridgeland, MS 39157']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561680100312_SKM_C450i23032816070.pdf,TEN4 SERVICES AGREEMENT,SERVICES AGREEMENT,3/78/23,03/78/2023,"Distributed Computing, Inc. dba Ten4",Provider,"Thomas C. Costello, LC",Customer,"twelve (12) months from date of install for each service, unless otherwise stated in writing (""Effective Date"").",12,month-to-month basis,1, $218.55 , $-   ,"['Business Complete Seat', 'Virtual Fax (100 pages)', 'Domestic Toll Free Number', 'Edgemarc C2E Licensing & Monitoring']",[],[],"['409 Washington Avenue, Suite 410, Towson, MD 21204', '1700 Union Ave Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561680641000_kpeltz_Innovative Business Solutions_TYANNA LADD _comcast_packages_4-3-2023.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,4/4/2023,4/4/2023,"Comcast Cable Communications Management, LLC",Provider,"Removery, LLC (formerly Change Ink)",Customer,Month to Month,1,,, $169.90 , $199.95 ,['Business Internet Standard'],[],['Modem'],"['17115 Southcenter Parkway Tukwila, Washington 98188', 'PO BOX 730 BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19561680726567_Removery, LLC (formerly Change Ink)_ CSA (2).pdf",Commercial Services Agreement,Commercial Services Agreement,4/5/2023,4/5/2023,"Cox Communications Las Vegas, Inc.; Cox Nevada Telcom, LLC",Provider,"Removery, LLC (formerly Change Ink)",Customer,12,12,ONE (1) YEAR TERMS,12, $103.99 , $124.00 ,"['CBI 100 - 100Mbps x 20Mbps includes Cox WiFi 10 Free Access Accounts and 25 Free PC Security Suites', 'Dynamic IP Address']",[],['CBI Modem'],"['1700 Vegas Drive Las Vegas, NV 89106', '1300 W Sunset Rd STE 2421 Henderson, NV 89014', 'PO BOX 730 Brooklandville, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561680019818_Horne LLP .pdf,Spectrum Enterprise Service Agreement,Service Agreement,3/28/2023,3/28/2023,"Charter Communications Operating, LLC",Provider,Horne LLP,Customer,12 MO,12,,, $899.00 , $250.00 ,['Fiber Internet Access'],[],['100M MANAGED ROUTER'],"['124 Broad Street, Selma, AL 36701', '661 Sunnybrook Rd., 100, Ridgeland, MS 39157', '12405 Powerscourt Drive, St. Louis, MO 63131']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681224052_Ten4 Helpline proposal_PR-555_ORP_signed 4.10.23.pdf,TEN4 SERVICES AGREEMENT,Agreement,4.10.23,4/10/2023,Ten4,Provider,Oyster Recovery Partnership,Customer,The Service Term for Ten4 Services is co-terminus with the original Hosted Voice Agreement and SOF.,,on a month-to-month basis,1, $2.95 , $5.00 ,"['Domestic Toll Free Number', 'Phone Number LNP and/or Toll Free RESPORG']",[],[],"['1805A Virginia Street, Annapolis, MD 21401', '1700 Union Ave • Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561680811950_ACORN HEALTH OF MICHIGAN Order 34474038.pdf,Comcast Business Service Order,Order,4/6/2023,4/6/2023,"Comcast Cable Communications Management, LLC",Provider,ACORN HEALTH OF MICHIGAN,Customer,12 Months,12,,, $373.90 , $129.95 ,"['Business Internet Advanced (download speed up to 500 Mbps)', 'Connection Pro Service', 'SecurityEdge', 'Mobility Lines', 'Business Voice']",[],['Static IP -1'],"['1000 E PARIS AVE SE, STE 160, GRAND RAPIDS, MI 49546', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561680878072_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_4-4-2023 (1) (1).pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Order,4/4/2023,4/4/2023,"Comcast Cable Communications Management, LLC",Provider,Select Medical Corporation,Customer,Month to Month,,,, $169.90 , $99.95 ,['Business Internet Standard'],[],['Modem'],"['601 New Rd, SUITE A, Linwood, New Jersey 08221', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681332936_kpeltz_Innovative Business Solutions_KATE WAINWRIGHT _comcast_packages_4-12-2023 (1).pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Service Order,4/12/2023,4/12/2023,COMCAST,Provider,ACORN HEALTH,Customer,12 Month,12,,, $249.85 , $129.95 ,"['Business Internet Performance', 'Business Internet']",[],"['Modem', '5 Static IPs']","['120 Everest Lane, St Johns, Florida 32259', 'PO BOX 730, BROOKLANDVILLE, MD 21022']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19561680876775_670049- SELECT MEDICAL CORPORATION 160, LOA.pdf",ACC_ADI_Single_Site_Ethernet_AOW,Pricing Schedule,5-Apr-23,4/5/2023,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,3 Years,36,,, $553.00 ," $1,500.00 ","['Ethernet Port', 'Hi-Cap Ethernet MBC', 'Hi-Cap Incr Charge/mbps', 'AT&T Dedicated Internet']",[],['CPE'],"['2000 Hayes St, Floor 1, Nashville, TN 37203', 'PO BOX 730 brooklandville, md 21022', '45 W Sego Lily Drive, Sandy, UT 84070']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19561681311644_Chardan Capital Markets, LLC_Cogent Upgrade NY.pdf",CUSTOMER ORDER FORM Dedicated Internet Access,Order,4/12/2023,4/12/2023,"Cogent Communications, Inc.",Provider,"Chardan Capital Markets, LLC",Customer,36,36,successive month-to-month,1, $775.00 , $-   ,"['Dedicated Internet Access Service', 'BGP routing', 'VLAN(s) w/ static routing', 'Link Aggregation (LAG)']",[],[],"['17 STATE STREET\nSTE 2130\nNEW YORK, NY\n10004\nUS', 'HQ: 2450 N Street, NW Washington, DC 20037']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681402726_CAPITAL FOREST PRODUCTS SSR-142012.pdf,Comcast Business Service Order,Order,4/13/2023,4/13/2023,"Comcast Cable Communications Management, LLC",Provider,CAPITAL FOREST PRODUCTS,Customer,12 Months,12,,, $119.90 , $29.95 ,"['Business Internet', 'Business Internet Essential']",[],[],"['21 FOTTLER RD HINGHAM, MA 02043', '222 SEVERN AVE, BLDG 14, S ΤΕ 100 ANNAPOLIS, MD 21403']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681402978_CAPITAL FOREST PRODUCTS SSR-142005.pdf,Comcast Business Service Order,Order,4/13/2023,4/13/2023,"Comcast Cable Communications Management, LLC",Provider,CAPITAL FOREST PRODUCTS,Customer,24 Months,24,,, $199.89 , $-   ,"['Business Internet Performance (download speeds up to 250 Mbps)', 'SecurityEdge', 'Mobility Lines', 'Business Internet', 'Business Voice']",[],"['Static IP -5', 'Equipment Fee', 'Package Equipment Fee']","['172 NEWPORT RD LEOLA, PA 17540', '107 GIBRALTER AVE ANNAPOLIS, MD 21401']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681414073_4.12.23 Chardan Capital Markets LLC Site 4753 Bigleaf Amendment Form - Retail - 2023-01 Countersigned.pdf,Bigleaf Services Order Amendment,Amendment,4/13/2023,4/13/2023,"Bigleaf Networks, Inc.",Provider,Chardan Capital Markets LLC,Customer,,,12 Months,12, $565.00 ,,"['Up to 3/3 Gbps', '1/1 Gbps', '500/500 Mbps', '250/250 Mbps', '100/100 Mbps', '50/50 Mbps']",[],[],"['17 State Street, Suite 2130 New York, NY 10004']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681406368_4.12.23 Chardan Capital Markets LLC Site 4753 Bigleaf Amendment Form - Retail - 2023-01.pdf,Bigleaf Services Order Amendment,Amendment,4/13/2023,4/13/2023,"Bigleaf Networks, Inc.",Provider,Chardan Capital Markets LLC,Customer,,,12 Months,12, $565.00 ,,"['Up to 3/3 Gbps', '1/1 Gbps', '500/500 Mbps', '250/250 Mbps', '100/100 Mbps', '50/50 Mbps', 'Up to 1Gbps/100Mbps']",[],[],"['17 State Street, Suite 2130 New York, NY 10004']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681741591_MedTeam-Ten4 Billing Agg Plus Agmt 031722.docx.pdf,BILLING AGGREGATION PLUS AGREEMENT,Agreement,3/21/2022,3/21/2022,"Distributed Computing, Inc. dba Ten4",Provider,"The Medical Team, Inc.",Customer,"thirty-six (36) months from date of Customer signature, unless otherwise stated in writing (""Effective Date"").",36,month-to-month basis,1," Three Percent (3%) of the Monthly Spend per month, with a minimum monthly fee of One Thousand Dollars ($1,000.00) ", Zero Dollars and xx Cents ($0.00) ,"[""aggregate billing of Customer's broadband network""]","['Multiple Carrier Bills Streamlined into a Single Invoice', 'Ten4 Receives and Pays Individual Bills', 'Customer-Facing Portal with Bill Reflection', 'Ongoing Telecom Spend Review', 'Variance Analysis with Billing Error Notification', ""Management of Billing Disputes and Credits with SP's"", 'Customizable Invoicing for Seamless AP System Imports', 'Contract Management', 'Service Disconnects']",[],"['1896 Preston White Drive, Reston, VA 20191']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681742175_Valor-Ten4 Billing Agg Addendum 123020.pdf,Billing Aggregation Services Addendum,Addendum,12/31/2020,12/31/2020,"Distributed Computing, Inc. dba Ten4",Provider,"Valor Healthcare, Inc.",Customer,,,month-to-month,1,,,['broadband network'],"['Aggregate billing in a single invoice', 'Payment of known bills to service providers', 'Monthly billing analysis', 'Access to account information via Ten4 Portal']",[],"['Wellington Centre, 14643 Dallas Parkway, Suite 100, Dallas, TX 75254', '1700 Union Avenue, Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19561681742187_Valor-Ten4 Standard MSA 123020.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,12/31/2020,12/31/2020,"Distributed Computing, Inc. dba Ten4",Provider,"Valor Healthcare, Inc.",Customer,"twelve (12) months (""MSA Term"")",12,,,,,[],[],[],"['1700 Union Avenue, Suite B, Baltimore, MD 21211', 'Wellington Centre, 14643 Dallas Parkway, Suite 100, Dallas TX 75254']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
